Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%);H 11 (%);H 12 (%);H 13 (%);H 14 (%);H 15 (%);H 16 (%);H 17 (%);H 18 (%)
QUIXADA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;888;718;81%;49%;22%;29%;51%;46;58;25;56;71;42;63;49;52;;45;43;41;69;37;48;67;63
QUIXELO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;240;216;90%;45%;18%;38%;55%;54;65;30;62;71;48;66;59;65;;49;46;38;69;49;49;62;64
QUIXERAMOBIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;1179;940;80%;13%;18%;63%;74%;81;82;63;124;87;80;83;71;82;71;74;67;71;61;67;70;85;74
QUIXERE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;258;243;94%;25%;26%;49%;63%;59;76;41;78;85;51;73;64;70;0;56;54;43;68;62;57;74;72
REDENCAO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;396;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;
RERIUTABA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;233;213;91%;42%;18%;39%;56%;55;63;41;66;65;51;66;61;57;50;52;52;50;64;42;52;60;66
RUSSAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;156;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;
SABOEIRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;160;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;
SALITRE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;386;286;74%;37%;20%;43%;58%;59;65;41;87;71;50;67;61;68;48;53;51;51;56;56;57;70;58
SANTA QUITERIA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;457;318;70%;47%;10%;42%;49%;61;55;43;14600;62;54;68;60;7;42;49;51;44;19;45;34;56;60
SANTANA DO ACARAU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;126;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;
SANTANA DO CARIRI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;184;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;
SAO BENEDITO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;582;321;55%;34%;20%;46%;60%;54;68;45;70;71;60;69;62;63;71;52;54;47;74;63;52;68;73
SAO JOAO DO JAGUARIBE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;63;59;94%;29%;20%;51%;61%;68;68;63;69;85;;75;69;69;29;56;46;36;68;47;54;74;
SENADOR POMPEU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;173;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;
SOLONOPOLE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;187;155;83%;35%;19%;45%;59%;60;64;51;68;72;66;72;57;61;40;52;53;39;70;49;52;71;73
TABULEIRO DO NORTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;341;293;86%;35%;20%;45%;56%;68;66;42;147;74;57;68;57;78;44;55;49;44;43;53;43;75;64
TAMBORIL;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;37;3;8%;33%;33%;33%;58%;33;33;40;67;67;60;67;80;50;75;100;50;33;60;40;50;50;80
TAUA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;581;12;2%;33%;42%;25%;60%;50;92;33;83;75;33;50;58;71;;63;67;17;67;58;46;75;67
TEJUCUOCA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;304;262;86%;29%;23%;48%;62%;59;69;41;65;80;63;73;62;73;70;54;58;46;65;45;55;73;70
TIANGUA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;1111;976;88%;29%;21%;50%;63%;63;66;41;72;79;61;74;68;70;100;54;53;52;76;46;57;74;71
TRAIRI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;670;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;
UBAJARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;524;408;78%;22%;19%;59%;66%;69;74;45;80;78;63;68;65;77;63;61;58;47;64;65;63;76;78
UMIRIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;278;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;
URUBURETAMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;331;246;74%;39%;26%;34%;54%;57;61;31;78;78;48;70;56;60;49;52;43;43;53;53;48;70;56
URUOCA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;217;199;92%;24%;15%;61%;66%;72;72;61;100;80;66;81;72;64;68;63;66;66;55;53;50;72;71
VARJOTA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;231;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;
VICOSA DO CEARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;946;810;86%;32%;20%;47%;58%;77;62;51;653;77;70;68;60;66;51;62;78;47;52;53;40;72;52
