Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%);H 11 (%);H 12 (%);H 13 (%);H 14 (%);H 15 (%)
IPUEIRAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;520;446;86%;8%;23%;69%;84%;76;25;85;90;89;85;75;76;82;80;75;94;94;80;91
IRACEMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;166;137;83%;34%;39%;27%;61%;51;40;67;71;60;70;54;39;68;53;51;80;59;67;77
IRAUCUBA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;383;371;97%;14%;22%;64%;78%;85;77;78;87;0;82;68;0;75;75;65;90;76;53;85
ITAICABA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;105;104;99%;19%;30%;51%;71%;94;64;69;88;90;78;56;26;62;61;57;88;75;97;82
ITAITINGA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;850;725;85%;31%;34%;35%;64%;63;63;61;76;72;66;43;39;44;55;55;82;71;68;73
ITAPAJE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;519;387;75%;35%;34%;31%;62%;60;52;59;76;75;65;49;40;50;53;56;82;70;55;71
ITAPIUNA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;220;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
ITATIRA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;166;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
JAGUARETAMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;233;152;65%;34%;24%;43%;63%;59;59;60;77;73;69;0;40;0;73;49;80;49;60;73
JAGUARIBARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;149;146;98%;39%;27%;34%;59%;51;60;51;73;64;65;;37;;59;52;83;35;60;73
JAGUARIBE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;473;394;83%;24%;31%;44%;67%;68;62;67;80;75;70;41;48;60;69;58;78;55;71;78
JAGUARUANA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;340;313;92%;23%;32%;45%;74%;76;;70;83;86;80;58;39;57;60;;89;94;76;82
JARDIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;395;325;82%;39%;32%;30%;59%;53;62;52;72;70;64;39;40;45;61;46;70;62;61;67
JATI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;126;111;88%;32%;24%;44%;65%;53;58;56;78;69;74;55;49;50;64;68;75;58;71;77
JUAZEIRO DO NORTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;1535;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
JUCAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;274;272;99%;14%;26%;60%;76%;83;87;80;85;86;72;62;50;62;77;57;88;81;87;80
LAVRAS DA MANGABEIRA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;310;272;88%;17%;31%;52%;71%;64;68;71;85;77;72;51;52;73;78;63;86;61;91;84
LIMOEIRO DO NORTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;681;485;71%;35%;37%;28%;64%;67;17;63;79;75;66;47;27;46;57;50;82;81;59;71
MADALENA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;303;252;83%;25%;34%;41%;68%;62;61;60;81;74;78;;47;;72;62;82;57;70;81
MARACANAU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;3215;2641;82%;36%;32%;31%;60%;54;58;52;75;67;65;25;41;25;56;52;77;53;57;72
MARANGUAPE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;1237;1100;89%;29%;32%;39%;65%;88;58;66;84;79;65;50;31;54;59;51;76;71;90;74
MARCO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;525;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
MARTINOPOLE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;197;166;84%;14%;11%;75%;82%;84;79;85;89;83;83;76;67;81;78;60;92;86;76;89
MASSAPE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;537;351;65%;18%;32%;50%;72%;66;69;64;85;81;75;;50;;66;65;89;68;73;83
MAURITI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;610;522;86%;32%;29%;39%;64%;58;64;62;77;69;68;50;44;52;58;48;79;69;67;75
MERUOCA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;254;227;89%;11%;14%;74%;82%;87;80;83;88;;87;76;;79;70;71;92;85;57;89
MILAGRES;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;286;260;91%;27%;29%;44%;67%;55;64;60;81;75;76;;49;;65;59;88;54;61;79
MILHA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;167;164;98%;15%;37%;48%;75%;78;62;77;82;80;73;67;41;66;79;62;87;84;82;81
MIRAIMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;13;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
MISSAO VELHA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;66;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
MOMBACA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;529;8;2%;38%;50%;13%;56%;19;38;25;88;63;75;;69;;63;44;63;13;56;100
MONSENHOR TABOSA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;172;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
MORADA NOVA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;620;193;31%;41%;29%;30%;58%;58;56;44;69;72;64;;37;;35;53;74;48;58;65
MORRINHOS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;278;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
MUCAMBO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;190;180;95%;10%;19%;71%;80%;80;80;83;88;87;85;82;61;70;82;71;90;85;69;88
MULUNGU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;139;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
NOVA OLINDA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;245;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
NOVA RUSSAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;366;346;95%;23%;31%;46%;69%;65;67;60;80;73;77;;50;;69;62;84;64;71;77
