Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%);H 11 (%);H 12 (%);H 13 (%);H 14 (%);H 15 (%);H 16 (%)
SENADOR POMPEU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;273;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
SENADOR SA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;10;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
SOLONOPOLE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;221;209;95%;22%;19%;58%;65%;91;66;72;59;84;54;58;54;88;72;61;75;64;65;58;39
TABULEIRO DO NORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;347;303;87%;16%;18%;66%;69%;94;73;75;65;78;65;66;54;89;72;71;81;58;61;48;51
TAMBORIL;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;325;254;78%;19%;17%;64%;72%;87;72;74;67;95;58;66;73;87;72;66;75;87;75;69;48
TARRAFAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;86;57;66%;18%;14%;68%;67%;82;79;66;69;75;42;50;78;84;75;54;82;17;74;25;61
TAUA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;666;537;81%;11%;26%;64%;70%;88;75;78;64;72;58;70;60;85;75;67;83;53;65;44;49
TEJUCUOCA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;279;256;92%;20%;36%;45%;62%;88;61;73;51;77;46;56;47;83;61;66;73;54;62;46;41
TIANGUA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;1236;1037;84%;18%;26%;56%;66%;86;71;76;57;20;57;62;57;84;71;63;77;0;68;0;42
TRAIRI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;675;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
UBAJARA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;514;440;86%;19%;25%;56%;65%;84;65;73;58;77;54;62;55;82;66;61;76;58;69;60;47
UMARI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;44;42;95%;2%;2%;95%;89%;100;82;90;87;92;94;94;85;98;95;86;93;65;80;81;79
UMIRIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;243;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
URUBURETAMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;293;221;75%;22%;24%;55%;65%;85;66;77;61;71;49;62;54;78;66;64;78;62;63;46;47
URUOCA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;244;208;85%;12%;22%;65%;69%;83;71;77;64;77;73;65;65;85;71;65;82;64;69;57;40
VARJOTA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;268;221;82%;13%;12%;75%;74%;95;76;81;68;81;66;77;81;83;72;77;83;68;68;43;53
VICOSA DO CEARA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;1019;831;82%;10%;16%;74%;71%;86;80;77;69;82;62;72;64;86;74;74;79;63;69;44;56
