Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 56 (%);H 59 (%);H 60 (%);H 61 (%);H 62 (%);H 63 (%);H 64 (%);H 65 (%);H 66 (%);H 67 (%);H 68 (%)
ITAITINGA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;793;708;89%;13%;31%;56%;71%;76;72;72;72;75;70;59;36;87;66;82
ITAPAJE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;607;464;76%;11%;33%;56%;71%;80;67;72;69;79;73;59;53;85;68;82
ITAPIUNA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;189;0;0%;0%;0%;0%;0%;;;;;;;;;;;
ITATIRA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;277;0;0%;0%;0%;0%;0%;;;;;;;;;;;
JAGUARIBE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;429;377;88%;13%;37%;49%;68%;80;66;75;69;69;64;55;48;85;57;82
JARDIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;353;334;95%;10%;37%;54%;72%;77;64;72;71;79;72;65;48;88;74;81
JATI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;108;9;8%;56%;44%;0%;40%;78;19;17;41;22;37;56;78;72;56;11
JUAZEIRO DO NORTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;1885;3;0%;100%;0%;0%;20%;0;33;17;22;33;0;0;100;17;33;17
JUCAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;292;288;99%;8%;22%;70%;76%;89;78;81;74;80;77;62;58;91;60;88
LAVRAS DA MANGABEIRA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;49;0;0%;0%;0%;0%;0%;;;;;;;;;;;
LIMOEIRO DO NORTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;597;520;87%;15%;36%;49%;67%;76;64;75;71;66;67;56;39;85;36;80
MADALENA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;255;212;83%;7%;30%;63%;74%;87;65;78;76;75;77;67;50;86;47;91
MARACANAU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;2975;0;0%;0%;0%;0%;0%;;;;;;;;;;;
MARANGUAPE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;1145;31;3%;29%;19%;52%;66%;71;62;84;38;77;58;63;52;74;74;85
MARCO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;503;0;0%;0%;0%;0%;0%;;;;;;;;;;;
MARTINOPOLE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;190;157;83%;4%;14%;82%;83%;87;84;88;81;88;82;75;82;91;76;88
MASSAPE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;466;427;92%;7%;22%;71%;77%;75;71;82;80;70;83;70;49;88;77;89
MAURITI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;558;472;85%;14%;31%;55%;69%;73;63;71;71;72;71;61;51;84;71;77
MERUOCA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;232;0;0%;0%;0%;0%;0%;;;;;;;;;;;
MILAGRES;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;63;0;0%;0%;0%;0%;0%;;;;;;;;;;;
MIRAIMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;17;0;0%;0%;0%;0%;0%;;;;;;;;;;;
MOMBACA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;486;1;0%;0%;100%;0%;68%;100;33;100;67;0;100;67;0;100;0;100
MONSENHOR TABOSA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;166;148;89%;5%;16%;80%;79%;89;73;80;82;86;85;71;35;91;76;92
MORADA NOVA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;620;467;75%;15%;39%;46%;65%;81;57;72;68;61;67;52;43;84;36;83
MORRINHOS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;230;221;96%;10%;27%;63%;71%;83;66;78;70;78;77;59;42;89;57;82
MUCAMBO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;178;19;11%;11%;11%;79%;74%;84;58;79;75;89;81;74;37;71;84;82
MULUNGU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;112;0;0%;0%;0%;0%;0%;;;;;;;;;;;
NOVA OLINDA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;220;219;100%;3%;5%;92%;91%;96;95;96;87;94;88;89;84;95;87;92
NOVA RUSSAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;289;0;0%;0%;0%;0%;0%;;;;;;;;;;;
NOVO ORIENTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;324;0;0%;0%;0%;0%;0%;;;;;;;;;;;
OCARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;328;300;91%;13%;34%;53%;73%;83;69;78;65;78;70;52;59;92;84;78
PACAJUS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;200;0;0%;0%;0%;0%;0%;;;;;;;;;;;
PACATUBA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;55;0;0%;0%;0%;0%;0%;;;;;;;;;;;
PACOTI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;139;138;99%;6%;26%;68%;78%;88;73;86;77;76;75;70;66;91;62;90
PACUJA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;84;78;93%;6%;19%;74%;80%;76;76;79;85;82;79;74;55;92;86;85
PALHANO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;101;0;0%;0%;0%;0%;0%;;;;;;;;;;;
