Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%)
PIRES FERREIRA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;141;136;96%;0%;0%;100%;95%;96;88;94;94;94;99;93;98;95
PORANGA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;211;168;80%;4%;14%;82%;83%;76;75;90;80;81;96;80;94;89
PORTEIRAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;236;1;0%;100%;0%;0%;27%;0;0;50;50;50;50;33;0;0
POTENGI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;106;63;59%;11%;17%;71%;80%;80;62;85;74;89;95;68;90;78
POTIRETAMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;102;0;0%;0%;0%;0%;0%;;;;;;;;;
QUITERIANOPOLIS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;236;179;76%;8%;17%;74%;82%;85;78;75;75;81;93;78;94;78
QUIXADA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;876;777;89%;9%;25%;66%;78%;78;54;75;74;84;95;72;89;73
QUIXELO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;232;208;90%;10%;37%;53%;74%;76;60;78;55;72;94;72;89;65
QUIXERAMOBIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;1240;949;77%;7%;13%;80%;85%;79;81;85;83;84;93;82;92;84
QUIXERE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;210;204;97%;7%;10%;83%;86%;84;76;86;81;85;99;81;91;85
REDENCAO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;403;0;0%;0%;0%;0%;0%;;;;;;;;;
RERIUTABA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;225;179;80%;7%;17%;76%;83%;81;79;85;68;83;93;73;95;85
RUSSAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;167;0;0%;0%;0%;0%;0%;;;;;;;;;
SABOEIRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;292;0;0%;0%;0%;0%;0%;;;;;;;;;
SALITRE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;382;300;79%;11%;25%;64%;77%;78;68;79;69;79;97;61;89;76
SANTA QUITERIA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;529;313;59%;5%;26%;69%;81%;80;82;88;71;73;90;73;93;88
SANTANA DO ACARAU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;322;0;0%;0%;0%;0%;0%;;;;;;;;;
SANTANA DO CARIRI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;268;189;71%;14%;31%;55%;76%;72;70;77;67;79;94;66;88;71
SAO BENEDITO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;570;295;52%;7%;16%;76%;82%;85;78;85;84;81;95;64;93;82
SAO JOAO DO JAGUARIBE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;61;57;93%;7%;23%;70%;83%;74;70;82;82;89;95;84;89;79
SENADOR POMPEU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;280;0;0%;0%;0%;0%;0%;;;;;;;;;
SOLONOPOLE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;209;200;96%;7%;18%;76%;81%;82;68;88;77;81;94;69;92;77
TABULEIRO DO NORTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;325;244;75%;12%;32%;56%;75%;73;61;82;63;66;97;72;88;77
TAMBORIL;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;372;249;67%;6%;21%;73%;82%;79;80;83;75;81;94;70;92;82
TARRAFAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;101;73;72%;10%;19%;71%;79%;81;78;78;76;70;90;74;90;76
TAUA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;597;461;77%;10%;30%;61%;76%;76;69;77;70;77;91;70;88;73
TEJUCUOCA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;303;237;78%;10%;33%;57%;77%;73;62;77;70;77;97;73;90;68
TIANGUA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;1258;1063;84%;11%;30%;58%;75%;76;65;76;70;71;94;66;90;71
TRAIRI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;727;0;0%;0%;0%;0%;0%;;;;;;;;;
UBAJARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;510;442;87%;5%;26%;69%;80%;81;77;78;81;80;94;68;91;76
UMARI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;39;23;59%;0%;0%;100%;93%;86;100;100;80;94;100;90;96;96
UMIRIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;373;0;0%;0%;0%;0%;0%;;;;;;;;;
URUBURETAMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;300;134;45%;11%;21%;68%;77%;78;67;79;64;77;94;66;92;77
URUOCA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;205;184;90%;2%;14%;84%;87%;89;84;90;85;84;99;76;91;86
VARJOTA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;270;227;84%;9%;16%;75%;82%;81;79;83;82;77;91;74;88;82
VICOSA DO CEARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;972;783;81%;6%;17%;78%;83%;81;74;85;85;85;96;74;91;79
