Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 48 (%);H 49 (%);H 50 (%);H 51 (%);H 52 (%);H 53 (%);H 54 (%);H 55 (%);H 56 (%);H 57 (%);H 58 (%)
TEJUCUOCA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;290;242;83%;12%;31%;56%;74%;76;70;59;51;62;56;73;84;87;94;79
TIANGUA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;1263;1076;85%;14%;30%;56%;75%;74;74;64;54;64;61;78;88;76;91;78
TRAIRI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;727;0;0%;0%;0%;0%;0%;;;;;;;;;;;
UBAJARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;506;427;84%;7%;21%;73%;80%;81;82;69;60;71;74;84;83;88;90;82
UMARI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;38;0;0%;0%;0%;0%;0%;;;;;;;;;;;
UMIRIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;373;0;0%;0%;0%;0%;0%;;;;;;;;;;;
URUBURETAMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;283;45;16%;13%;22%;64%;74%;69;68;51;54;59;71;78;85;81;94;79
URUOCA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;203;186;92%;16%;19%;65%;77%;78;74;76;71;63;64;81;88;81;89;80
VARJOTA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;268;101;38%;11%;19%;70%;76%;84;76;75;59;63;78;64;83;86;82;84
VICOSA DO CEARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;989;863;87%;13%;21%;67%;77%;77;75;72;73;67;68;77;87;86;89;79
