Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 69 (%);H 70 (%);H 71 (%);H 72 (%);H 73 (%);H 74 (%);H 75 (%);H 76 (%);H 77 (%);H 78 (%);H 79 (%);H 80 (%);H 81 (%)
JAGUARIBARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;152;144;95%;53%;35%;11%;48%;53;57;44;54;51;51;47;;38;58;24;54;
JAGUARIBE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;474;418;88%;32%;37%;31%;60%;63;64;63;68;59;67;63;36;49;71;38;57;76
JAGUARUANA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;342;316;92%;31%;38%;31%;67%;76;59;64;81;74;72;59;49;53;69;;86;72
JARDIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;412;367;89%;47%;37%;17%;54%;59;58;54;61;59;57;49;32;42;59;36;57;58
JATI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;126;109;87%;43%;49%;8%;48%;42;51;53;58;43;55;57;33;41;53;25;42;80
JUAZEIRO DO NORTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;1535;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
JUCAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;269;264;98%;24%;31%;44%;67%;73;69;74;75;73;73;67;58;57;73;36;60;83
LAVRAS DA MANGABEIRA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;281;153;54%;35%;31%;33%;63%;69;62;66;51;76;70;59;59;53;71;29;60;70
LIMOEIRO DO NORTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;669;582;87%;46%;38%;16%;58%;60;58;66;71;72;66;44;49;49;54;40;76;47
MADALENA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;292;257;88%;28%;36%;35%;63%;64;62;64;69;63;74;69;;59;71;43;56;
MARACANAU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;3175;2639;83%;38%;39%;23%;55%;56;58;57;61;55;59;57;33;47;65;36;57;50
MARANGUAPE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;1237;1123;91%;34%;31%;35%;66%;70;66;66;78;66;66;58;47;52;67;;88;71
MARCO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;525;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
MARTINOPOLE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;198;162;82%;14%;27%;59%;76%;76;82;82;83;84;84;79;74;55;84;51;72;87
MASSAPE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;574;504;88%;19%;36%;46%;68%;68;73;73;76;68;78;75;;53;69;48;63;
MAURITI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;600;433;72%;45%;36%;18%;53%;52;55;50;54;57;55;55;51;48;60;44;47;59
MERUOCA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;257;251;98%;11%;25%;65%;81%;78;78;83;86;76;88;80;71;73;84;0;98;84
MILAGRES;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;283;235;83%;33%;43%;24%;58%;58;53;65;64;57;66;60;;54;69;31;57;
MILHA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;162;157;97%;14%;40%;46%;72%;73;70;70;76;63;72;76;77;70;78;50;75;97
MIRAIMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;13;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
MISSAO VELHA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;66;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
MOMBACA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;512;1;0%;0%;100%;0%;73%;100;50;50;100;0;100;100;;100;50;50;50;
MONSENHOR TABOSA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;172;154;90%;25%;42%;34%;63%;63;72;65;59;64;70;72;;53;74;30;67;
MORADA NOVA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;622;176;28%;48%;36%;16%;51%;55;50;59;55;52;60;61;;36;54;28;49;
MORRINHOS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;278;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
MUCAMBO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;207;163;79%;23%;24%;53%;68%;63;72;76;71;67;77;76;;68;73;47;60;
MULUNGU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;138;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
NOVA OLINDA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;245;220;90%;1%;0%;99%;92%;99;99;93;99;66;99;99;95;94;46;99;99;99
NOVA RUSSAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;361;341;94%;23%;45%;33%;64%;66;66;67;65;63;75;72;;57;72;47;55;
NOVO ORIENTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;425;415;98%;24%;35%;40%;66%;70;70;64;70;63;77;74;;59;72;42;59;
OCARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;294;271;92%;40%;40%;20%;54%;56;56;55;50;66;59;56;56;46;57;34;54;
OROS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;254;246;97%;28%;38%;34%;66%;75;64;66;72;73;72;60;52;52;64;53;68;76
PACAJUS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;238;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
