Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 45 (%);H 46 (%);H 47 (%);H 49 (%);H 50 (%);H 51 (%);H 52 (%)
IBARETAMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;154;0;0%;0%;0%;0%;0%;;;;;;;
IBIAPINA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;338;0;0%;0%;0%;0%;0%;;;;;;;
IBICUITINGA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;157;0;0%;0%;0%;0%;0%;;;;;;;
ICAPUI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;311;231;74%;15%;48%;36%;74%;80;77;49;68;93;75;78
ICO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;698;95;14%;44%;36%;20%;57%;60;54;31;58;71;68;59
IGUATU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;233;31;13%;26%;29%;45%;70%;73;69;44;73;84;77;71
INDEPENDENCIA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;219;178;81%;8%;18%;74%;84%;92;85;66;82;96;86;84
IPAPORANGA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;168;0;0%;0%;0%;0%;0%;;;;;;;
IPAUMIRIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;136;131;96%;25%;39%;36%;69%;77;67;43;66;85;69;74
IPUEIRAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;485;427;88%;14%;32%;54%;76%;91;76;50;62;89;80;88
IRACEMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;208;156;75%;23%;33%;44%;72%;80;69;46;64;89;77;76
IRAUCUBA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;389;317;81%;17%;39%;44%;71%;83;75;51;58;84;74;76
ITAICABA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;77;73;95%;7%;33%;60%;84%;91;75;70;85;96;91;82
ITAITINGA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;423;0;0%;0%;0%;0%;0%;;;;;;;
ITAPAJE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;337;263;78%;17%;38%;44%;72%;81;77;36;68;84;80;77
ITAPIUNA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;225;188;84%;21%;24%;55%;76%;74;75;61;67;90;80;88
ITATIRA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;204;0;0%;0%;0%;0%;0%;;;;;;;
JAGUARETAMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;246;225;91%;11%;51%;38%;73%;86;81;49;55;87;80;76
JAGUARIBARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;155;70;45%;20%;29%;51%;75%;82;65;63;72;90;78;79
JAGUARIBE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;584;427;73%;28%;43%;29%;67%;77;64;37;61;87;71;72
JAGUARUANA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;347;284;82%;19%;44%;37%;71%;81;69;33;72;92;71;75
JARDIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;346;300;87%;20%;41%;40%;72%;82;70;46;67;86;81;74
JATI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;149;105;70%;19%;44%;37%;73%;77;71;43;76;83;82;78
JUAZEIRO DO NORTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;1292;0;0%;0%;0%;0%;0%;;;;;;;
JUCAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;323;289;89%;26%;51%;23%;66%;83;67;34;56;81;65;76
LAVRAS DA MANGABEIRA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;270;0;0%;0%;0%;0%;0%;;;;;;;
LIMOEIRO DO NORTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;586;0;0%;0%;0%;0%;0%;;;;;;;
MADALENA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;266;203;76%;14%;39%;47%;75%;83;73;58;72;88;76;77
MARACANAU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;3182;41;1%;100%;0%;0%;34%;40;40;19;30;43;36;33
MARANGUAPE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;1111;928;84%;15%;39%;45%;73%;83;73;35;71;92;79;79
MARCO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;635;448;71%;10%;39%;51%;77%;86;77;51;71;91;82;85
MARTINOPOLE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;223;181;81%;19%;37%;44%;76%;86;72;59;74;82;79;80
MASSAPE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;529;0;0%;0%;0%;0%;0%;;;;;;;
MAURITI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;640;510;80%;16%;46%;38%;73%;78;68;46;74;85;79;77
MERUOCA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;254;240;94%;16%;43%;41%;71%;83;74;46;53;90;79;77
MILAGRES;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;210;199;95%;20%;40%;40%;71%;81;73;56;57;88;77;72
MILHA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;159;157;99%;1%;22%;76%;86%;87;92;58;87;93;93;86
MOMBACA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;451;0;0%;0%;0%;0%;0%;;;;;;;
MONSENHOR TABOSA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;169;103;61%;11%;46%;44%;73%;85;69;54;66;85;71;80
MORADA NOVA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;598;0;0%;0%;0%;0%;0%;;;;;;;
MORRINHOS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;309;259;84%;27%;54%;19%;66%;82;63;39;57;84;67;71
MUCAMBO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;208;115;55%;67%;11%;22%;53%;46;55;42;77;45;52;44
MULUNGU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;149;116;78%;17%;53%;30%;74%;78;64;59;67;94;83;77
NOVA OLINDA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;216;202;94%;11%;37%;52%;77%;89;79;62;68;87;81;76
NOVA RUSSAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;344;234;68%;22%;41%;37%;69%;82;67;22;72;85;67;76
NOVO ORIENTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;372;0;0%;0%;0%;0%;0%;;;;;;;
OCARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;292;261;89%;28%;46%;26%;69%;77;59;45;56;88;78;77
OROS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;224;212;95%;13%;37%;50%;80%;87;71;66;80;89;84;82
PACAJUS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;202;0;0%;0%;0%;0%;0%;;;;;;;
PACATUBA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;860;0;0%;0%;0%;0%;0%;;;;;;;
PACOTI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;139;139;100%;6%;42%;51%;82%;85;80;72;79;95;83;79
PACUJA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;95;80;84%;13%;30%;57%;80%;87;74;76;81;93;76;80
PALHANO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;87;83;95%;20%;41%;37%;73%;81;66;46;67;91;81;82
PALMACIA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;120;101;84%;30%;38%;33%;66%;76;66;23;69;82;75;72
PARACURU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;573;17;3%;6%;29%;65%;81%;96;78;3;89;98;84;91
PARAMOTI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;152;81;53%;19%;53%;28%;71%;81;69;49;54;89;78;80
PEDRA BRANCA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;512;435;85%;1%;11%;89%;90%;94;95;70;90;95;92;93
PENAFORTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;111;102;92%;18%;49%;33%;70%;78;73;42;65;87;72;76
PENTECOSTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;587;0;0%;0%;0%;0%;0%;;;;;;;
PEREIRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;274;0;0%;0%;0%;0%;0%;;;;;;;
PINDORETAMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;312;277;89%;6%;39%;54%;83%;85;79;68;78;96;91;86
PIQUET CARNEIRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;149;132;89%;6%;18%;76%;85%;87;91;44;89;94;89;85
PIRES FERREIRA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;131;125;95%;8%;34%;58%;78%;91;78;49;75;90;76;84
PORANGA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;206;0;0%;0%;0%;0%;0%;;;;;;;
PORTEIRAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;91;0;0%;0%;0%;0%;0%;;;;;;;
POTENGI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;147;98;67%;27%;43%;31%;69%;72;61;49;71;85;69;75
POTIRETAMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;102;93;91%;10%;35%;55%;82%;89;83;62;76;96;88;82
QUITERIANOPOLIS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;255;226;89%;10%;35%;55%;78%;86;72;57;74;92;84;82
QUIXADA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;682;0;0%;0%;0%;0%;0%;;;;;;;
QUIXELO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;229;0;0%;0%;0%;0%;0%;;;;;;;
QUIXERAMOBIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;1324;943;71%;17%;40%;43%;74%;80;69;56;70;85;76;80
QUIXERE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;207;0;0%;0%;0%;0%;0%;;;;;;;
REDENCAO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;399;340;85%;18%;47%;35%;70%;81;72;44;58;90;79;73
RERIUTABA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;204;191;94%;9%;42%;49%;77%;84;75;49;79;90;81;80
RUSSAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;81;0;0%;0%;0%;0%;0%;;;;;;;
SABOEIRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;233;134;58%;43%;42%;16%;61%;63;54;56;55;58;68;68
SALITRE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;340;265;78%;29%;45%;26%;68%;77;64;39;64;84;73;75
SANTA QUITERIA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;496;395;80%;12%;44%;44%;75%;85;73;49;72;89;82;79
SANTANA DO ACARAU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;323;0;0%;0%;0%;0%;0%;;;;;;;
SANTANA DO CARIRI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;276;198;72%;25%;43%;32%;69%;77;62;38;63;92;74;77
SAO BENEDITO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;12;12;100%;42%;50%;8%;62%;69;46;33;64;79;58;75
SAO JOAO DO JAGUARIBE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;56;52;93%;25%;50%;25%;70%;85;52;42;60;90;81;80
SENADOR POMPEU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;296;222;75%;9%;34%;57%;79%;85;81;47;76;91;84;86
SOLONOPOLE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;206;187;91%;8%;31%;61%;80%;86;82;59;72;92;87;87
TABULEIRO DO NORTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;309;145;47%;21%;51%;28%;69%;80;67;36;65;89;72;72
TAMBORIL;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;363;262;72%;18%;38%;44%;75%;84;71;56;69;86;79;82
TARRAFAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;158;48;30%;17%;38%;46%;75%;81;76;44;65;88;88;78
TAUA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;566;456;81%;29%;35%;36%;68%;72;66;53;65;83;71;69
TEJUCUOCA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;301;0;0%;0%;0%;0%;0%;;;;;;;
TIANGUA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;1231;1061;86%;28%;45%;27%;68%;75;67;42;65;83;73;71
TRAIRI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;727;0;0%;0%;0%;0%;0%;;;;;;;
UBAJARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;513;442;86%;19%;49%;32%;73%;76;73;47;74;81;79;79
UMARI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;35;0;0%;0%;0%;0%;0%;;;;;;;
UMIRIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;400;189;47%;23%;40%;37%;70%;78;66;38;68;88;76;72
URUBURETAMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;283;263;93%;25%;37%;38%;71%;68;64;50;70;90;75;76
URUOCA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;211;189;90%;16%;43%;41%;76%;92;71;49;66;93;78;84
VARJOTA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;266;89;33%;20%;35%;45%;74%;81;79;46;73;89;75;75
VICOSA DO CEARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;987;839;85%;16%;41%;43%;74%;83;74;48;69;89;78;78
