Município,Componente Curricular,Etapa,Previstos,Avaliados,% Participação,Defasagem,Aprendizado intermediário,Aprendizado adequado,Acerto Total,H 01 (%),H 02 (%),H 03 (%),H 04 (%),H 06 (%),H 07 (%),H 08 (%),H 09 (%),H 10 (%),Ciclos,Ano,Componente,H 45 (%),H 46 (%),H 47 (%),H 49 (%),H 50 (%),H 51 (%),H 52 (%),H 05 (%),H 11 (%),H 48 (%),H 53 (%),H 54 (%),H 55 (%),H 56 (%),H 57 (%),H 58 (%),H 59 (%),H 61 (%),H 62 (%),H 12 (%),H 14 (%),H 17 (%),H 19 (%),H 20 (%),H 21 (%),H 22 (%),H 26 (%),H 29 (%),H 60 (%),H 63 (%),H 64 (%),H 65 (%),H 66 (%),H 67 (%),H 68 (%),H 69 (%),H 71 (%),H 76 (%),H 77 (%),H 23 (%),H 24 (%),H 25 (%),H 27 (%),H 28 (%),H 30 (%),H 31 (%),H 36 (%),H 38 (%),H 70 (%),H 72 (%),H 73 (%),H 74 (%),H 75 (%),H 78 (%),H 80 (%),H 81 (%),H 82 (%),H 83 (%),H 85 (%),H 32 (%),H 33 (%),H 34 (%),H 35 (%),H 37 (%),H 39 (%),H 40 (%),H 41 (%),H 42 (%),H 43 (%),H 44 (%),H 79 (%),H 84 (%),H 86 (%),H 87 (%),H 88 (%),H 90 (%),H 91 (%),H 92 (%),H 93 (%),H 13 (%),H 16 (%),H 18 (%),H 15 (%),H 89 (%),H 94 (%),H 95 (%),H 96 (%),H 97 (%),H 98 (%)
MOMBACA,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,27,0,0%,0%,0%,0%,0%,,,,,,,,,,2,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONSENHOR TABOSA,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,154,140,91%,31%,22%,47%,56%,,,,,,,,,,2,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,,,75.0,,43.0,,61.0,46.0,73.0,,,,,,,,,,,,,53.0,67.0,68.0,47.0,43.0,44.0,,39.0,,,,,54.0,,,,,
MORADA NOVA,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,394,0,0%,0%,0%,0%,0%,,,,,,,,,,2,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUCAMBO,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,195,0,0%,0%,0%,0%,0%,,,,,,,,,,2,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MULUNGU,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,164,143,87%,27%,19%,55%,64%,,,,,,,,,,2,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,,,,,,74.0,,66.0,,76.0,44.0,79.0,,,,,,,,,,,,,73.0,69.0,61.0,56.0,68.0,78.0,,46.0,,,,,61.0,,,,,
NOVA OLINDA,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,245,0,0%,0%,0%,0%,0%,,,,,,,,,,2,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVA RUSSAS,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,304,0,0%,0%,0%,0%,0%,,,,,,,,,,2,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVO ORIENTE,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,399,390,98%,20%,26%,53%,62%,,,,,,,,,,2,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,78.0,,62.0,,67.0,70.0,72.0,,,,,,,,,,,,,65.0,71.0,63.0,51.0,45.0,51.0,,52.0,,,,,59.0,,,,,
OCARA,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,86,0,0%,0%,0%,0%,0%,,,,,,,,,,2,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACAJUS,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,230,0,0%,0%,0%,0%,0%,,,,,,,,,,2,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACUJA,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,80,70,88%,30%,17%,53%,59%,,,,,,,,,,2,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,,,74.0,,44.0,,63.0,56.0,72.0,,,,,,,,,,,,,49.0,64.0,69.0,46.0,54.0,39.0,,57.0,,,,,67.0,,,,,
PALHANO,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,93,0,0%,0%,0%,0%,0%,,,,,,,,,,2,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PALMACIA,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,126,120,95%,22%,19%,59%,64%,,,,,,,,,,2,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,,,,,,,,,,,,,,76.0,,65.0,,73.0,60.0,75.0,,,,,,,,,,,,,84.0,73.0,57.0,61.0,45.0,50.0,,57.0,,,,,64.0,,,,,
PARACURU,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,582,493,85%,44%,20%,36%,50%,,,,,,,,,,2,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,64.0,,52.0,,57.0,48.0,60.0,,,,,,,,,,,,,48.0,59.0,44.0,49.0,41.0,39.0,,34.0,,,,,49.0,,,,,
PARAMOTI,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,24,0,0%,0%,0%,0%,0%,,,,,,,,,,2,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEDRA BRANCA,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,460,424,92%,0%,0%,100%,98%,,,,,,,,,,2,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,,,,,,,,,,,,,,99.0,,98.0,,99.0,97.0,98.0,,,,,,,,,,,,,95.0,100.0,98.0,98.0,99.0,96.0,,97.0,,,,,99.0,,,,,
PENTECOSTE,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,613,390,64%,55%,27%,18%,41%,,,,,,,,,,2,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,55.0,,38.0,,62.0,28.0,45.0,,,,,,,,,,,,,49.0,51.0,0.0,33.0,42.0,0.0,,28.0,,,,,43.0,,,,,
PEREIRO,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,138,0,0%,0%,0%,0%,0%,,,,,,,,,,2,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PINDORETAMA,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,310,0,0%,0%,0%,0%,0%,,,,,,,,,,2,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIQUET CARNEIRO,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,25,0,0%,0%,0%,0%,0%,,,,,,,,,,2,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIRES FERREIRA,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,118,117,99%,3%,0%,97%,94%,,,,,,,,,,2,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0,,,,,,,,,,,,,,97.0,,94.0,,96.0,91.0,94.0,,,,,,,,,,,,,97.0,97.0,25.0,93.0,82.0,50.0,,96.0,,,,,95.0,,,,,
PORANGA,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,154,139,90%,45%,24%,31%,47%,,,,,,,,,,2,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,,,,,,,,,,,,,,63.0,,37.0,,54.0,46.0,55.0,,,,,,,,,,,,,49.0,52.0,42.0,35.0,42.0,44.0,,33.0,,,,,63.0,,,,,
PORTEIRAS,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,133,4,3%,100%,0%,0%,27%,,,,,,,,,,2,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,25.0,,63.0,0.0,38.0,,,,,,,,,,,,,0.0,50.0,13.0,0.0,25.0,50.0,,38.0,,,,,50.0,,,,,
POTENGI,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,109,0,0%,0%,0%,0%,0%,,,,,,,,,,2,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POTIRETAMA,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,103,0,0%,0%,0%,0%,0%,,,,,,,,,,2,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUIXELO,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,234,206,88%,55%,22%,22%,43%,,,,,,,,,,2,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,63.0,,35.0,,46.0,43.0,54.0,,,,,,,,,,,,,41.0,48.0,46.0,31.0,36.0,32.0,,36.0,,,,,35.0,,,,,
QUIXERAMOBIM,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,1217,970,80%,21%,17%,62%,66%,,,,,,,,,,2,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,,,,,,,,,,,,,,74.0,,66.0,,75.0,62.0,73.0,,,,,,,,,,,,,66.0,72.0,67.0,63.0,58.0,52.0,,61.0,,,,,70.0,,,,,
QUIXERE,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,253,0,0%,0%,0%,0%,0%,,,,,,,,,,2,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REDENCAO,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,412,387,94%,56%,19%,25%,44%,,,,,,,,,,2,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,,,,,,,,,,,,,,58.0,,44.0,,48.0,40.0,53.0,,,,,,,,,,,,,34.0,49.0,43.0,40.0,36.0,37.0,,33.0,,,,,53.0,,,,,
RERIUTABA,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,232,207,89%,35%,21%,43%,56%,,,,,,,,,,2,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,,,,,,,,,,,,,,71.0,,55.0,,65.0,47.0,62.0,,,,,,,,,,,,,51.0,62.0,63.0,50.0,55.0,40.0,,45.0,,,,,63.0,,,,,
RUSSAS,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,70,0,0%,0%,0%,0%,0%,,,,,,,,,,2,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SABOEIRO,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,194,148,76%,34%,23%,43%,56%,,,,,,,,,,2,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,,,,,,,,,,,,,,71.0,,58.0,,60.0,47.0,63.0,,,,,,,,,,,,,57.0,66.0,51.0,51.0,44.0,55.0,,41.0,,,,,53.0,,,,,
SALITRE,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,312,17,5%,59%,41%,0%,36%,,,,,,,,,,2,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,47.0,,35.0,,56.0,24.0,59.0,,,,,,,,,,,,,41.0,29.0,47.0,18.0,32.0,41.0,,0.0,,,,,59.0,,,,,
SANTANA DO ACARAU,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,126,0,0%,0%,0%,0%,0%,,,,,,,,,,2,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTANA DO CARIRI,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,172,0,0%,0%,0%,0%,0%,,,,,,,,,,2,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAO BENEDITO,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,457,20,4%,35%,30%,35%,49%,,,,,,,,,,2,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,75.0,,60.0,,70.0,60.0,70.0,,,,,,,,,,,,,60.0,40.0,30.0,20.0,35.0,50.0,,25.0,,,,,35.0,,,,,
SAO JOAO DO JAGUARIBE,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,64,61,95%,39%,28%,33%,50%,,,,,,,,,,2,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,,,,,,,,,,,,,,77.0,,39.0,,61.0,44.0,63.0,,,,,,,,,,,,,44.0,61.0,43.0,16.0,48.0,44.0,,35.0,,,,,52.0,,,,,
SENADOR POMPEU,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,171,0,0%,0%,0%,0%,0%,,,,,,,,,,2,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOLONOPOLE,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,165,158,96%,44%,16%,39%,53%,,,,,,,,,,2,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,,,,,,,,,,,,,,63.0,,53.0,,61.0,51.0,67.0,,,,,,,,,,,,,39.0,57.0,53.0,45.0,45.0,42.0,,42.0,,,,,59.0,,,,,
TABULEIRO DO NORTE,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,342,127,37%,39%,31%,31%,50%,,,,,,,,,,2,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,,,,,,,,,,,,,,65.0,,40.0,,58.0,44.0,63.0,,,,,,,,,,,,,54.0,59.0,46.0,40.0,46.0,36.0,,37.0,,,,,51.0,,,,,
TAMBORIL,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,37,3,8%,33%,0%,67%,52%,,,,,,,,,,2,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,60.0,,25.0,,40.0,75.0,67.0,,,,,,,,,,,,,0.0,60.0,100.0,75.0,0.0,20.0,,50.0,,,,,75.0,,,,,
TAUA,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,569,9,2%,56%,11%,33%,45%,,,,,,,,,,2,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,44.0,,22.0,,39.0,44.0,44.0,,,,,,,,,,,,,22.0,50.0,50.0,44.0,72.0,33.0,,44.0,,,,,78.0,,,,,
TEJUCUOCA,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,300,270,90%,41%,26%,33%,49%,,,,,,,,,,2,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,,,,,,62.0,,46.0,,54.0,50.0,63.0,,,,,,,,,,,,,43.0,56.0,51.0,40.0,38.0,40.0,,38.0,,,,,56.0,,,,,
TIANGUA,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,1095,940,86%,41%,27%,32%,49%,,,,,,,,,,2,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,61.0,,46.0,,54.0,52.0,66.0,,,,,,,,,,,,,49.0,58.0,46.0,31.0,42.0,42.0,,39.0,,,,,49.0,,,,,
TRAIRI,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,670,0,0%,0%,0%,0%,0%,,,,,,,,,,2,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UBAJARA,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,522,432,83%,30%,22%,47%,57%,,,,,,,,,,2,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,,,,,,,,,,,,,,68.0,,60.0,,62.0,59.0,67.0,,,,,,,,,,,,,56.0,59.0,59.0,51.0,46.0,47.0,,49.0,,,,,64.0,,,,,
UMIRIM,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,276,0,0%,0%,0%,0%,0%,,,,,,,,,,2,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URUBURETAMA,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,318,24,8%,58%,21%,21%,44%,,,,,,,,,,2,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,67.0,,29.0,,38.0,42.0,60.0,,,,,,,,,,,,,42.0,54.0,48.0,42.0,29.0,31.0,,35.0,,,,,46.0,,,,,
URUOCA,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,213,193,91%,27%,16%,57%,63%,,,,,,,,,,2,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,,,,,,,,,,,,,,75.0,,56.0,,72.0,57.0,71.0,,,,,,,,,,,,,62.0,65.0,66.0,51.0,63.0,42.0,,57.0,,,,,76.0,,,,,
VARJOTA,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,229,0,0%,0%,0%,0%,0%,,,,,,,,,,2,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICOSA DO CEARA,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,899,73,8%,25%,14%,62%,62%,,,,,,,,,,2,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,77.0,,37.0,,75.0,66.0,75.0,,,,,,,,,,,,,64.0,75.0,56.0,41.0,60.0,38.0,,53.0,,,,,85.0,,,,,
ACARAPE,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,208,0,0%,0%,0%,0%,0%,,,,,,,,,,2,5,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACARAU,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,797,0,0%,0%,0%,0%,0%,,,,,,,,,,2,5,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACOPIARA,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,45,22,49%,18%,27%,55%,57%,,,,,,,,,,2,5,LPL,27.0,73.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,23.0,45.0,,,,,,,,,,,,,,77.0,77.0,66.0,,64.0,55.0,64.0,,,,,,,,,,,,,,77.0,,,59.0,68.0,59.0,50.0,68.0,,,,,,,,,,,47.0,,,,,,,,,
ALCANTARAS,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,188,175,93%,5%,7%,87%,77%,,,,,,,,,,2,5,LPL,65.0,87.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,42.0,80.0,,,,,,,,,,,,,,89.0,85.0,70.0,,82.0,82.0,86.0,,,,,,,,,,,,,,87.0,,89.0,81.0,77.0,79.0,87.0,71.0,76.0,,,,,,,,,,71.0,,,,,,,,,
ALTANEIRA,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,11,0,0%,0%,0%,0%,0%,,,,,,,,,,2,5,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALTO SANTO,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,82,0,0%,0%,0%,0%,0%,,,,,,,,,,2,5,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTONINA DO NORTE,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,79,0,0%,0%,0%,0%,0%,,,,,,,,,,2,5,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AQUIRAZ,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,57,0,0%,0%,0%,0%,0%,,,,,,,,,,2,5,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARACATI,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,910,758,83%,12%,19%,69%,66%,,,,,,,,,,2,5,LPL,51.0,73.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,75.0,69.0,,,,,,,,,,,,,,81.0,79.0,59.0,,62.0,64.0,73.0,,,,,,,,,,,,,,69.0,,,61.0,64.0,67.0,66.0,66.0,,,,,,,,,,,63.0,,,,,,,,,
ARACOIABA,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,344,334,97%,22%,30%,48%,54%,,,,,,,,,,2,5,LPL,38.0,61.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,60.0,59.0,,,,,,,,,,,,,,71.0,67.0,49.0,,47.0,51.0,63.0,,,,,,,,,,,,,,55.0,,,50.0,56.0,57.0,49.0,60.0,,,,,,,,,,,52.0,,,,,,,,,
ARARENDA,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,129,129,100%,0%,1%,99%,94%,,,,,,,,,,2,5,LPL,92.0,98.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,96.0,96.0,,,,,,,,,,,,,,92.0,97.0,94.0,,95.0,83.0,98.0,,,,,,,,,,,,,,97.0,,,95.0,88.0,95.0,96.0,95.0,,,,,,,,,,,90.0,,,,,,,,,
ARARIPE,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,311,0,0%,0%,0%,0%,0%,,,,,,,,,,2,5,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARATUBA,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,185,169,91%,14%,25%,62%,59%,,,,,,,,,,2,5,LPL,47.0,71.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,40.0,62.0,,,,,,,,,,,,,,76.0,80.0,54.0,,51.0,67.0,70.0,,,,,,,,,,,,,,65.0,,88.0,53.0,60.0,60.0,59.0,56.0,51.0,,,,,,,,,,53.0,,,,,,,,,
ARNEIROZ,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,8,0,0%,0%,0%,0%,0%,,,,,,,,,,2,5,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSARE,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,204,0,0%,0%,0%,0%,0%,,,,,,,,,,2,5,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
